,auditor
PricewaterhouseCoopers,391
Ernst & Young,333
Deloitte Touche Tohmatsu,319
None,253
KPMG,176
BDO Limited,169
HLB Hodgson Impey Cheng Limited,109
SHINEWING (HK) CPA Limited,56
ZHONGHUI ANDA CPA Limited,50
Grant Thornton Hong Kong Limited,48
Elite Partners CPA Limited,44
Mazars CPA Limited,42
RSM Hong Kong,38
Moore Stephens CPA Limited,38
Crowe (HK) CPA Limited,35
Public Accountants and,26
Baker Tilly Hong Kong Limited,25
CHENG & CHENG LIMITED,16
HLM CPA Limited,16
CCTH CPA Limited,13
McMillan Woods (Hong Kong) CPA Limited,12
Asian Alliance (HK) CPA Limited,8
Ascenda Cachet CPA Limited,7
PKF Hong Kong Limited,7
Zenith CPA Limited,7
Deloitte Touche Tohmatsu (cid:127),7
ShineWing,7
Confucius International CPA Limited,5
KTC Partners CPA Limited,5
WUYIGE,4
ernst & Young,4
Da Hua,4
pricewaterhousecoopers,4
Pricewaterhousecoopers,4
deloitte touche tohmatsu,3
D & PARTNERS CPA LIMITED,3
Graham H.Y. Chan & Co.,3
Pan-China,3
ernst & young,3
Deloitte Touche Tohmatsu (cid:129),3
Lau & Au Yeung C.P.A. Limited,3
KPMG Huazhen,3
Ernst & Young Hua Ming,2
PAN-CHINA (H.K.) CPA LIMITED,2
Yongtuo Fuson CPA Limited,2
Ernst & young,2
pricewaterhouseCoopers,2
WELLINK CPA LIMITED,2
ZHONGHuI ANDA CPA Limited,2
deloitte Touche Tohmatsu,2
Deloitte touche tohmatsu,2
KPMg,2
achieves fair presentation. Ernst & Young,1
for and on behalf of PricewaterhouseCoopers,1
(engagement partner),1
Reanda Lau & Au Yeung (HK) CPA Limited,1
related nancial statement items.,1
PricewaterhouseCoopers Aarata LLC,1
Kpmg,1
TING HO KWAN & CHAN CPA LIMITED,1
Mazars CPA limited  Mazars llP,1
BDo limited,1
Fuson CPA Limited,1
Jonten Hopkins CPA Limited,1
al R,1
McM (HK) CPA Limited,1
Clement C.W. Chan & Co.,1
bdO limited,1
baker Tilly hong Kong Limited,1
U,1
nc,1
Deloitte Touche Tohmatsu Certified,1
"based on the audit evidence obtained, whether",1
DELOITTE TOUCHE TOHMATSU,1
90 PricewaterhouseCoopers,1
moore stephens Cpa Limited,1
WELLINK CPA Limited,1
(cid:129) Deloitte Touche Tohmatsu,1
Mazars CPA Limited LKY China,1
kPMG,1
CCTH CPA LIMITED,1
independent auditors report is Tse Wong Pui.,1
Mazars CPA Limited Mazars,1
mazars CPa limited,1
C Ernst & Young,1
FiOth,1
Lok Man.,1
SHINEWING (HK) CPA Limited 87,1
ort 2,1
auditors report is Leung Tat Ming.,1
of,1
"16/F, China Resources Building",1
hLB hodgson Impey Cheng Limited,1
Grant Thornton,1
Baker Tilly Hong Kong Limited  STATEMENT,1
KPMG PLT KPMG PLT,1
Ruihua,1
VI.,1VI
Ernst	&	Young,1
auditors report is Ho Ying Man Simon.,1
DELOITTE PLT (LLP0010145-LCA),1
Prism CPA Limited,1
Shinewing,1
Mazars CPa Limited,1
DaHua,1
report is Lawrence K. W. Lau.,1
McMillan Woods (hong Kong) CPA Limited,1
BDo Limited,1
Accountants LLP and signed by,1
Deloitte Touche Tohmatsu T,1
auditors report is Siu Fung Terence Ho.,1
BdO Limited,1
report is Kwong Chun Kit.,1
express an opinion on the consolidated financial,1
Mazars CPA Limited  Grant Thornton Malaysia PLT,1
Lee Wei Loon AUDIT PARTNER-IN-CHARGE,1
Practising Certificate Number: P05908,1
HlB Hodgson Impey Cheng limited,1
Martin C.K. Pong & Company,1
is Chan Ting Yuen.,1
mit,1
nt,1
auditors report is Lawrence K. W. Lau.,1
independent auditors report is Li Ka Lam.,1
BDO	Limited,1
"Fan, Chan & Co. Limited",1
hand and seal of the,1
(cid:127) Deloitte Touche Tohmatsu,1
elite partners Cpa limited,1
ShineWing Australia,1
Deloitte Touche Tohmatsu (cid:116),1
9,1
Grant Thornton Hong kong limited,1
TING HO KWAN & CHAN,1
"report is Leung Wai Lap, Philip.",1
